group	HIR
ZD958/CAU1	3.64 
ZD958/CAU2	13.31 
ZD958/CAU3	9.90 
ZD958/CAU4	14.59 
ZD958/CAU5	14.00 
ZD958/CAU6	14.00 
ZD958/CAUZPY	13.70 
ZD958/CHOI1	10.42 
ZD958/CHOI2	12.25 
ZD958/CHOI3	8.77 
ZD958/CHOI4	14.70 
JK968/CAU6	17.64 
JK968/CHOI4	17.52 
ND678/CAU6	18.85 
ND678/CHOI4	20.84 
XY335/CAU6	17.00 
XY335/CHOI4	10.59
