name	m	weight	oil
87-1_by815new	Yu8701/BY815	0.36	6.348
87-1_by815new	Yu8701/BY815	0.36	6.492
87-1_by815new	Yu8701/BY815	0.36	6.599
87-1_by815new	Yu8701/BY815	0.36	6.646
87-1_by815new	Yu8701/BY815	0.36	6.705
87-1_by815new	Yu8701/BY815	0.36	6.713
87-1_by815new	Yu8701/BY815	0.36	6.755
87-1_by815new	Yu8701/BY815	0.36	6.821
87-1_by815new	Yu8701/BY815	0.36	6.959
87-1_by815new	Yu8701/BY815	0.36	7.162
87-1_by815new	Yu8701/BY815	0.36	7.205
87-1_by815new	Yu8701/BY815	0.36	7.473
87-1_by815new	Yu8701/BY815	0.35	6.006
87-1_by815new	Yu8701/BY815	0.35	6.088
87-1_by815new	Yu8701/BY815	0.35	6.125
87-1_by815new	Yu8701/BY815	0.35	6.306
87-1_by815new	Yu8701/BY815	0.35	6.416
87-1_by815new	Yu8701/BY815	0.35	6.715
87-1_by815new	Yu8701/BY815	0.35	6.823
87-1_by815new	Yu8701/BY815	0.35	6.847
87-1_by815new	Yu8701/BY815	0.35	7.172
87-1_by815new	Yu8701/BY815	0.34	5.527
87-1_by815new	Yu8701/BY815	0.34	6.029
87-1_by815new	Yu8701/BY815	0.34	6.115
87-1_by815new	Yu8701/BY815	0.34	6.28
87-1_by815new	Yu8701/BY815	0.34	6.338
87-1_by815new	Yu8701/BY815	0.34	6.372
87-1_by815new	Yu8701/BY815	0.34	6.423
87-1_by815new	Yu8701/BY815	0.34	6.486
87-1_by815new	Yu8701/BY815	0.34	6.929
87-1_by815new	Yu8701/BY815	0.34	6.933
87-1_by815new	Yu8701/BY815	0.34	7.086
87-1_by815new	Yu8701/BY815	0.33	5.864
87-1_by815new	Yu8701/BY815	0.33	6.064
87-1_by815new	Yu8701/BY815	0.33	6.308
87-1_by815new	Yu8701/BY815	0.33	6.456
87-1_by815new	Yu8701/BY815	0.33	6.533
87-1_by815new	Yu8701/BY815	0.33	6.796
87-1_by815new	Yu8701/BY815	0.33	6.927
87-1_by815new	Yu8701/BY815	0.32	5.972
87-1_by815new	Yu8701/BY815	0.32	6.738
87-1_by815new	Yu8701/BY815	0.32	8.094
87-1_by815new	Yu8701/BY815	0.31	5.822
87-1_by815new	Yu8701/BY815	0.31	5.967
87-1_by815new	Yu8701/BY815	0.31	6.904
87-1_by815new	Yu8701/BY815	0.31	7.039
87-1_by815new	Yu8701/BY815	0.31	7.134
87-1_by815new	Yu8701/BY815	0.31	7.319
87-1_by815new	Yu8701/BY815	0.31	8.259
87-1_by815new	Yu8701/BY815	0.3	6.093
87-1_by815new	Yu8701/BY815	0.3	6.268
87-1_by815new	Yu8701/BY815	0.3	6.434
87-1_by815new	Yu8701/BY815	0.3	6.638
87-1_by815new	Yu8701/BY815	0.3	7.237
87-1_by815new	Yu8701/BY815	0.3	7.308
87-1_by815new	Yu8701/BY815	0.3	7.32
87-1_by815new	Yu8701/BY815	0.3	7.716
87-1_by815new	Yu8701/BY815	0.29	5.373
87-1_by815new	Yu8701/BY815	0.29	7.006
87-1_by815new	Yu8701/BY815	0.29	7.64
87-1_by815new	Yu8701/BY815	0.28	3.391
87-1_by815new	Yu8701/BY815	0.28	5.193
87-1_by815new	Yu8701/BY815	0.28	6.6
87-1_by815new	Yu8701/BY815	0.27	6.243
87-1_by815new	Yu8701/BY815	0.27	6.278
87-1_by815new	Yu8701/BY815	0.27	7.104
87-1_by815new	Yu8701/BY815	0.26	6.236
87-1_by815new	Yu8701/BY815	0.25	6.172
87-1_by815new	Yu8701/BY815	0.24	5.02
87-1_by815new	Yu8701/BY815	0.23	9.749
958F1	ZD958	0.5	2.933
958F1	ZD958	0.49	2.545
958F1	ZD958	0.49	3.133
958F1	ZD958	0.47	3.083
958F1	ZD958	0.46	3.27
958F1	ZD958	0.45	2.379
958F1	ZD958	0.45	3.05
958F1	ZD958	0.44	2.586
958F1	ZD958	0.44	3.259
958F1	ZD958	0.44	4.104
958F1	ZD958	0.43	2.413
958F1	ZD958	0.43	2.844
958F1	ZD958	0.43	3.642
958F1	ZD958	0.42	3.239
958F1	ZD958	0.41	3.077
958F1	ZD958	0.4	2.467
958F1	ZD958	0.4	2.695
958F1	ZD958	0.4	2.702
958F1	ZD958	0.4	3.069
958F1	ZD958	0.39	2.909
958F1	ZD958	0.39	3.167
958F1	ZD958	0.37	2.377
958F1	ZD958	0.37	2.46
958F1	ZD958	0.37	2.784
958F1	ZD958	0.37	3.124
958F1	ZD958	0.36	2.414
958F1	ZD958	0.36	2.614
958F1	ZD958	0.36	2.719
958F1	ZD958	0.36	3.208
958F1	ZD958	0.36	3.672
958F1	ZD958	0.35	1.784
958F1	ZD958	0.35	2.476
958F1	ZD958	0.35	2.567
958F1	ZD958	0.35	2.81
958F1	ZD958	0.35	2.993
958F1	ZD958	0.35	3.013
958F1	ZD958	0.35	3.055
958F1	ZD958	0.33	2.509
958F1	ZD958	0.32	2.521
958F1	ZD958	0.32	2.63
958F1	ZD958	0.31	2.265
958F1	ZD958	0.3	2.17
958F1	ZD958	0.3	2.414
958F1	ZD958	0.29	2.513
958F1	ZD958	0.29	3.57
958F1	ZD958	0.29	3.668
958F1	ZD958	0.28	3.134
958F1	ZD958	0.26	2.387
958F1	ZD958	0.25	2.777
968F1	JK968	0.49	2.978
968F1	JK968	0.48	2.521
968F1	JK968	0.48	2.651
968F1	JK968	0.48	3.568
968F1	JK968	0.47	2.858
968F1	JK968	0.47	3.076
968F1	JK968	0.46	2.864
968F1	JK968	0.46	2.902
968F1	JK968	0.46	3.17
968F1	JK968	0.45	2.333
968F1	JK968	0.45	2.626
968F1	JK968	0.45	3.117
968F1	JK968	0.44	2.389
968F1	JK968	0.44	2.427
968F1	JK968	0.44	2.543
968F1	JK968	0.44	2.75
968F1	JK968	0.44	2.865
968F1	JK968	0.44	3.017
968F1	JK968	0.44	3.05
968F1	JK968	0.44	3.148
968F1	JK968	0.44	3.638
968F1	JK968	0.44	3.639
968F1	JK968	0.43	2.182
968F1	JK968	0.43	2.602
968F1	JK968	0.43	2.643
968F1	JK968	0.43	2.805
968F1	JK968	0.43	2.855
968F1	JK968	0.43	2.965
968F1	JK968	0.43	3.115
968F1	JK968	0.43	3.135
968F1	JK968	0.43	3.141
968F1	JK968	0.43	3.152
968F1	JK968	0.43	3.282
968F1	JK968	0.42	1.846
968F1	JK968	0.42	2.194
968F1	JK968	0.42	2.235
968F1	JK968	0.42	2.32
968F1	JK968	0.42	2.447
968F1	JK968	0.42	2.511
968F1	JK968	0.42	2.537
968F1	JK968	0.42	2.974
968F1	JK968	0.42	3.348
968F1	JK968	0.41	2.264
968F1	JK968	0.41	2.385
968F1	JK968	0.41	2.505
968F1	JK968	0.41	2.507
968F1	JK968	0.41	2.553
968F1	JK968	0.41	2.676
968F1	JK968	0.41	2.747
968F1	JK968	0.41	2.759
968F1	JK968	0.41	2.845
968F1	JK968	0.4	1.902
968F1	JK968	0.4	2.401
968F1	JK968	0.4	2.57
968F1	JK968	0.4	2.625
968F1	JK968	0.4	2.628
968F1	JK968	0.4	2.735
968F1	JK968	0.4	2.942
968F1	JK968	0.4	3.043
968F1	JK968	0.4	3.827
968F1	JK968	0.39	1.667
968F1	JK968	0.39	1.876
968F1	JK968	0.39	2.183
968F1	JK968	0.39	2.383
968F1	JK968	0.39	2.505
968F1	JK968	0.39	2.569
968F1	JK968	0.39	2.704
968F1	JK968	0.39	2.761
968F1	JK968	0.39	2.825
968F1	JK968	0.39	2.943
968F1	JK968	0.39	3.065
968F1	JK968	0.39	3.151
968F1	JK968	0.39	3.276
968F1	JK968	0.39	3.402
968F1	JK968	0.39	3.67
968F1	JK968	0.39	3.852
968F1	JK968	0.38	2.246
968F1	JK968	0.38	2.265
968F1	JK968	0.38	2.306
968F1	JK968	0.38	2.317
968F1	JK968	0.38	2.417
968F1	JK968	0.38	2.445
968F1	JK968	0.38	2.494
968F1	JK968	0.38	2.574
968F1	JK968	0.38	2.614
968F1	JK968	0.38	2.643
968F1	JK968	0.38	2.766
968F1	JK968	0.38	2.768
968F1	JK968	0.38	2.855
968F1	JK968	0.38	3.216
968F1	JK968	0.38	3.367
968F1	JK968	0.38	3.376
968F1	JK968	0.38	3.471
968F1	JK968	0.38	3.498
968F1	JK968	0.38	3.712
968F1	JK968	0.38	4.256
968F1	JK968	0.38	4.774
968F1	JK968	0.37	1.767
968F1	JK968	0.37	2.153
968F1	JK968	0.37	2.17
968F1	JK968	0.37	2.221
968F1	JK968	0.37	2.287
968F1	JK968	0.37	2.328
968F1	JK968	0.37	2.502
968F1	JK968	0.37	2.503
968F1	JK968	0.37	2.607
968F1	JK968	0.37	2.733
968F1	JK968	0.37	2.741
968F1	JK968	0.37	3.202
968F1	JK968	0.37	3.321
968F1	JK968	0.37	3.347
968F1	JK968	0.36	1.846
968F1	JK968	0.36	2.077
968F1	JK968	0.36	2.187
968F1	JK968	0.36	2.236
968F1	JK968	0.36	2.693
968F1	JK968	0.36	2.849
968F1	JK968	0.36	2.852
968F1	JK968	0.36	3.055
968F1	JK968	0.36	3.092
968F1	JK968	0.36	3.122
968F1	JK968	0.36	3.205
968F1	JK968	0.36	3.255
968F1	JK968	0.36	3.278
968F1	JK968	0.35	2.394
968F1	JK968	0.35	2.415
968F1	JK968	0.35	2.454
968F1	JK968	0.35	2.572
968F1	JK968	0.35	2.679
968F1	JK968	0.35	2.765
968F1	JK968	0.35	3.148
968F1	JK968	0.35	3.16
968F1	JK968	0.35	3.684
968F1	JK968	0.34	1.908
