male	female	group	type	weight	oil
CHOI4	ND678	ND678/CHOI4	H	0.41	3.068
CHOI4	ND678	ND678/CHOI4	H	0.36	3.111
CHOI4	ND678	ND678/CHOI4	H	0.42	3.391
CHOI4	ND678	ND678/CHOI4	C	0.45	4.602
CHOI4	ND678	ND678/CHOI4	C	0.39	3.206
CHOI4	ND678	ND678/CHOI4	C	0.44	4.172
CHOI4	ND678	ND678/CHOI4	C	0.37	4.004
CHOI4	ND678	ND678/CHOI4	C	0.43	3.422
CHOI4	ND678	ND678/CHOI4	C	0.4	3.964
CHOI4	ND678	ND678/CHOI4	C	0.46	3.953
CHOI4	ND678	ND678/CHOI4	C	0.43	3.721
CHOI4	ND678	ND678/CHOI4	C	0.33	3.538
CHOI4	ND678	ND678/CHOI4	C	0.49	4.44
CHOI4	ND678	ND678/CHOI4	C	0.45	4.176
CHOI4	ND678	ND678/CHOI4	C	0.46	3.84
CHOI4	ND678	ND678/CHOI4	C	0.36	2.353
CHOI4	ND678	ND678/CHOI4	C	0.4	4.588
CHOI4	ND678	ND678/CHOI4	C	0.41	4.105
CHOI4	ND678	ND678/CHOI4	C	0.41	3.858
CHOI4	ND678	ND678/CHOI4	C	0.42	4.027
CHOI4	ND678	ND678/CHOI4	C	0.35	5.981
CHOI4	ND678	ND678/CHOI4	C	0.45	3.938
CHOI4	ND678	ND678/CHOI4	C	0.35	3.975
CHOI4	ND678	ND678/CHOI4	C	0.37	3.8
CHOI4	ND678	ND678/CHOI4	C	0.37	4.272
CHOI4	ND678	ND678/CHOI4	C	0.4	3.285
CHOI4	ND678	ND678/CHOI4	C	0.45	3.136
CHOI4	ND678	ND678/CHOI4	C	0.4	3.243
CHOI4	ND678	ND678/CHOI4	C	0.45	3.939
CHOI4	ND678	ND678/CHOI4	C	0.34	3.527
CHOI4	ND678	ND678/CHOI4	C	0.42	3.4
CHOI4	ND678	ND678/CHOI4	C	0.25	3.373
CHOI4	ND678	ND678/CHOI4	C	0.39	3.615
CHOI4	ND678	ND678/CHOI4	C	0.4	4.883
CHOI4	ND678	ND678/CHOI4	C	0.37	3.675
CHOI4	ND678	ND678/CHOI4	C	0.48	3.45
CHOI4	ND678	ND678/CHOI4	C	0.45	4.346
CHOI4	ND678	ND678/CHOI4	C	0.47	3.963
CHOI4	ND678	ND678/CHOI4	C	0.37	3.454
CHOI4	ND678	ND678/CHOI4	C	0.43	4.752
CHOI4	ND678	ND678/CHOI4	C	0.46	2.721
CHOI4	ND678	ND678/CHOI4	C	0.46	3.502
CHOI4	ND678	ND678/CHOI4	C	0.41	4.379
CHOI4	ND678	ND678/CHOI4	C	0.4	3.516
CHOI4	ND678	ND678/CHOI4	C	0.38	4.528
CHOI4	ND678	ND678/CHOI4	C	0.41	4.18
CHOI4	ND678	ND678/CHOI4	C	0.51	3.749
CHOI4	ND678	ND678/CHOI4	C	0.32	3.742
CHOI4	ND678	ND678/CHOI4	C	0.43	5.963
CHOI4	ND678	ND678/CHOI4	C	0.35	3.37
CHOI4	ND678	ND678/CHOI4	C	0.46	3.408
CHOI4	ND678	ND678/CHOI4	C	0.38	3.724
CHOI4	ND678	ND678/CHOI4	C	0.49	4.568
CHOI4	ND678	ND678/CHOI4	C	0.46	4.198
CHOI4	ND678	ND678/CHOI4	C	0.47	3.416
CHOI4	ND678	ND678/CHOI4	C	0.32	4.438
CHOI4	ND678	ND678/CHOI4	C	0.45	4.147
CHOI4	ND678	ND678/CHOI4	C	0.37	4.222
CHOI4	ND678	ND678/CHOI4	C	0.38	4.77
CHOI4	ND678	ND678/CHOI4	C	0.43	4.48
CHOI4	ND678	ND678/CHOI4	C	0.35	4.388
CHOI4	ND678	ND678/CHOI4	C	0.46	3.825
CHOI4	ND678	ND678/CHOI4	C	0.41	5.453
CAU6	XY335	XY335/CAU6	C	0.49	2.42
CAU6	XY335	XY335/CAU6	C	0.43	2.633
CAU6	XY335	XY335/CAU6	C	0.46	2.821
CAU6	XY335	XY335/CAU6	C	0.49	3.319
CAU6	XY335	XY335/CAU6	C	0.41	2.183
CAU6	XY335	XY335/CAU6	C	0.43	3.113
CAU6	XY335	XY335/CAU6	C	0.42	2.726
CAU6	XY335	XY335/CAU6	C	0.39	2.456
CAU6	XY335	XY335/CAU6	C	0.35	2.275
CAU6	XY335	XY335/CAU6	C	0.45	2.623
CAU6	XY335	XY335/CAU6	C	0.4	2.405
CAU6	XY335	XY335/CAU6	C	0.35	2.371
CAU6	XY335	XY335/CAU6	C	0.4	2.506
CAU6	XY335	XY335/CAU6	C	0.4	2.717
CAU6	XY335	XY335/CAU6	C	0.45	2.77
CAU6	XY335	XY335/CAU6	C	0.43	2.667
CAU6	XY335	XY335/CAU6	C	0.42	3.069
CAU6	XY335	XY335/CAU6	C	0.45	2.947
CAU6	XY335	XY335/CAU6	C	0.41	2.139
CAU6	XY335	XY335/CAU6	C	0.41	2.572
CAU6	XY335	XY335/CAU6	C	0.55	2.651
CAU6	XY335	XY335/CAU6	C	0.43	2.956
CAU6	XY335	XY335/CAU6	C	0.49	4.069
CAU6	XY335	XY335/CAU6	C	0.86	2.693
CAU6	XY335	XY335/CAU6	C	0.43	3.73
CAU6	XY335	XY335/CAU6	C	0.84	2.39
CAU6	XY335	XY335/CAU6	C	0.38	2.924
CAU6	XY335	XY335/CAU6	C	0.44	2.529
CAU6	XY335	XY335/CAU6	C	0.42	2.169
CAU6	XY335	XY335/CAU6	C	0.4	2.932
CAU6	XY335	XY335/CAU6	C	0.38	2.822
CAU6	XY335	XY335/CAU6	C	0.37	2.074
CAU6	XY335	XY335/CAU6	C	0.45	3.307
CAU6	XY335	XY335/CAU6	C	0.43	2.525
CAU6	XY335	XY335/CAU6	C	0.43	2.776
CAU6	XY335	XY335/CAU6	C	0.42	2.57
CAU6	XY335	XY335/CAU6	C	0.42	2.405
CAU6	XY335	XY335/CAU6	C	0.41	2.278
CAU6	XY335	XY335/CAU6	C	0.45	2.333
CAU6	XY335	XY335/CAU6	C	0.41	2.769
CAU6	XY335	XY335/CAU6	C	0.46	2.934
CAU6	XY335	XY335/CAU6	C	0.42	2.094
CAU6	XY335	XY335/CAU6	C	0.44	2.846
CAU6	XY335	XY335/CAU6	C	0.42	2.381
CAU6	XY335	XY335/CAU6	C	0.42	2.282
CAU6	XY335	XY335/CAU6	C	0.43	2.415
CAU6	XY335	XY335/CAU6	C	0.37	2.308
CAU6	XY335	XY335/CAU6	C	0.4	2.349
CAU6	XY335	XY335/CAU6	C	0.39	2.355
CAU6	XY335	XY335/CAU6	C	0.4	2.331
CAU6	XY335	XY335/CAU6	C	0.41	2.864
CAU6	XY335	XY335/CAU6	C	0.48	3
CAU6	XY335	XY335/CAU6	C	0.39	3.225
CAU6	XY335	XY335/CAU6	H	0.42	3.246
CAU6	XY335	XY335/CAU6	H	0.43	1.698
CAU6	XY335	XY335/CAU6	H	0.41	1.877
CAU6	XY335	XY335/CAU6	H	0.38	2.964
CAU6	XY335	XY335/CAU6	H	0.33	2.194
CAU6	XY335	XY335/CAU6	H	0.39	1.885
CAU6	XY335	XY335/CAU6	H	0.41	3.175
CAU6	XY335	XY335/CAU6	H	0.38	2.505
CAU6	XY335	XY335/CAU6	H	0.43	1.984
CAU6	XY335	XY335/CAU6	H	0.34	2.085
CAU6	XY335	XY335/CAU6	H	0.47	1.32
CAU6	XY335	XY335/CAU6	H	0.39	2.453
CAU6	XY335	XY335/CAU6	H	0.39	2.505
CAU6	XY335	XY335/CAU6	H	0.36	2.406
CAU6	XY335	XY335/CAU6	H	0.41	3.799
CAU6	XY335	XY335/CAU6	H	0.38	1.748
CAU6	XY335	XY335/CAU6	H	0.36	2.075
CAU6	XY335	XY335/CAU6	H	0.44	2.339
CAU6	XY335	XY335/CAU6	H	0.38	2.767
CAU6	XY335	XY335/CAU6	H	0.36	1.948
CAU6	XY335	XY335/CAU6	H	0.36	3.19
CAU6	XY335	XY335/CAU6	H	0.36	2.707
CAU6	XY335	XY335/CAU6	H	0.39	2.767
CAU6	XY335	XY335/CAU6	H	0.4	2.65
CAU6	XY335	XY335/CAU6	H	0.37	2.059
CAU6	XY335	XY335/CAU6	H	0.44	1.927
CAU6	XY335	XY335/CAU6	H	0.35	2.571
CAU6	XY335	XY335/CAU6	H	0.42	2.217
CAU6	XY335	XY335/CAU6	H	0.35	2.297
CAU6	XY335	XY335/CAU6	H	0.43	1.302
CAU6	XY335	XY335/CAU6	H	0.37	1.005
CAU6	XY335	XY335/CAU6	H	0.38	3.033
CAU6	XY335	XY335/CAU6	H	0.4	1.466
CAU6	XY335	XY335/CAU6	H	0.35	2.282
CAU6	XY335	XY335/CAU6	H	0.4	1.906
CAU6	XY335	XY335/CAU6	H	0.4	1.944
CAU6	XY335	XY335/CAU6	H	0.31	1.58
CAU6	XY335	XY335/CAU6	H	0.38	3.126
CAU6	XY335	XY335/CAU6	H	0.82	2.132
CAU6	XY335	XY335/CAU6	H	0.37	2.748
CAU6	XY335	XY335/CAU6	H	0.37	2.408
CAU6	XY335	XY335/CAU6	H	0.47	2.702
CAU6	XY335	XY335/CAU6	H	0.43	2.182
CAU6	XY335	XY335/CAU6	H	0.4	2.416
CAU6	XY335	XY335/CAU6	H	0.37	2.111
CAU6	XY335	XY335/CAU6	H	0.34	2.573
CAU6	XY335	XY335/CAU6	H	0.42	2.535
CAU6	XY335	XY335/CAU6	H	0.78	2.45
CAU6	XY335	XY335/CAU6	H	0.46	1.826
CAU6	XY335	XY335/CAU6	H	0.46	1.28
CAU6	XY335	XY335/CAU6	H	0.33	1.647
CAU6	XY335	XY335/CAU6	H	0.42	1.529
CAU6	XY335	XY335/CAU6	H	0.38	1.701
CAU6	XY335	XY335/CAU6	H	0.37	3.01
CAU6	XY335	XY335/CAU6	H	0.38	2.756
CAU6	XY335	XY335/CAU6	H	0.43	1.72
CAU6	XY335	XY335/CAU6	H	0.5	3.193
CAU6	XY335	XY335/CAU6	H	0.36	2.586
CAU6	XY335	XY335/CAU6	H	0.38	1.968
CAU6	XY335	XY335/CAU6	H	0.31	2.064
CAU6	XY335	XY335/CAU6	H	0.44	2.124
CAU6	XY335	XY335/CAU6	H	0.4	1.927
CAU6	XY335	XY335/CAU6	H	0.38	1.535
CAU6	XY335	XY335/CAU6	H	0.45	1.624
CAU6	XY335	XY335/CAU6	H	0.36	2.589
CAU6	XY335	XY335/CAU6	H	0.38	2.104
CAU6	ND678	ND678/CAU6	C	0.4	3.047
CAU6	ND678	ND678/CAU6	C	0.37	2.534
CAU6	ND678	ND678/CAU6	C	0.47	2.575
CAU6	ND678	ND678/CAU6	C	0.4	3.003
CAU6	ND678	ND678/CAU6	C	0.4	2.715
CAU6	ND678	ND678/CAU6	C	0.35	3.114
CAU6	ND678	ND678/CAU6	C	0.36	2.221
CAU6	ND678	ND678/CAU6	C	0.35	2.504
CAU6	ND678	ND678/CAU6	C	0.35	2.768
CAU6	ND678	ND678/CAU6	C	0.38	2.168
CAU6	ND678	ND678/CAU6	C	0.39	2.54
CAU6	ND678	ND678/CAU6	C	0.4	2.879
CAU6	ND678	ND678/CAU6	C	0.44	2.516
CAU6	ND678	ND678/CAU6	C	0.42	3.244
CAU6	ND678	ND678/CAU6	C	0.38	2.697
CAU6	ND678	ND678/CAU6	C	0.36	2.759
CAU6	ND678	ND678/CAU6	C	0.53	2.685
CAU6	ND678	ND678/CAU6	C	0.4	2.199
CAU6	ND678	ND678/CAU6	C	0.38	2.624
CAU6	ND678	ND678/CAU6	C	0.45	2.539
CAU6	ND678	ND678/CAU6	C	0.42	2.16
CAU6	ND678	ND678/CAU6	C	0.46	2.026
CAU6	ND678	ND678/CAU6	C	0.44	2.336
CAU6	ND678	ND678/CAU6	C	0.42	2.101
CAU6	ND678	ND678/CAU6	C	0.47	2.298
CAU6	ND678	ND678/CAU6	C	0.46	2.436
CAU6	ND678	ND678/CAU6	C	0.41	2.509
CAU6	ND678	ND678/CAU6	C	0.44	2.616
CAU6	ND678	ND678/CAU6	C	0.4	2.232
CAU6	ND678	ND678/CAU6	C	0.5	2.133
CAU6	ND678	ND678/CAU6	C	0.47	2.252
CAU6	ND678	ND678/CAU6	C	0.48	2.621
CAU6	ND678	ND678/CAU6	C	0.41	2.168
CAU6	ND678	ND678/CAU6	C	0.45	2.005
CAU6	ND678	ND678/CAU6	C	0.52	2.473
CAU6	ND678	ND678/CAU6	C	0.4	2.085
CAU6	ND678	ND678/CAU6	C	0.39	2.233
CAU6	ND678	ND678/CAU6	C	0.36	1.824
CAU6	ND678	ND678/CAU6	C	0.44	2.44
CAU6	ND678	ND678/CAU6	C	0.45	2.316
CAU6	ND678	ND678/CAU6	C	0.46	2.257
CAU6	ND678	ND678/CAU6	C	0.46	1.836
CAU6	ND678	ND678/CAU6	C	0.46	2.214
CAU6	ND678	ND678/CAU6	C	0.44	2.405
CAU6	ND678	ND678/CAU6	C	0.43	1.795
CAU6	ND678	ND678/CAU6	C	0.48	2.625
CAU6	ND678	ND678/CAU6	C	0.45	1.869
CAU6	ND678	ND678/CAU6	C	0.55	2.037
CAU6	ND678	ND678/CAU6	C	0.43	1.967
CAU6	ND678	ND678/CAU6	C	0.42	2.392
CAU6	ND678	ND678/CAU6	C	0.41	2.512
CAU6	ND678	ND678/CAU6	C	0.45	2.423
CAU6	ND678	ND678/CAU6	C	0.43	2.29
CAU6	ND678	ND678/CAU6	C	0.48	2.588
CAU6	ND678	ND678/CAU6	C	0.53	2.513
CAU6	ND678	ND678/CAU6	C	0.43	2.701
CAU6	ND678	ND678/CAU6	C	0.44	2.023
CAU6	ND678	ND678/CAU6	C	0.45	3.278
CAU6	ND678	ND678/CAU6	C	0.44	2.971
CAU6	ND678	ND678/CAU6	H	0.38	2.567
CAU6	ND678	ND678/CAU6	H	0.42	1.363
CAU6	ND678	ND678/CAU6	H	0.32	2.202
CAU6	ND678	ND678/CAU6	H	0.39	2.583
CAU6	ND678	ND678/CAU6	H	0.36	3.345
CAU6	ND678	ND678/CAU6	H	0.38	3.596
CAU6	ND678	ND678/CAU6	H	0.39	1.834
CAU6	ND678	ND678/CAU6	H	0.38	1.941
CAU6	ND678	ND678/CAU6	H	0.36	2.994
CAU6	ND678	ND678/CAU6	H	0.36	3.506
CAU6	ND678	ND678/CAU6	H	0.5	2.352
CAU6	ND678	ND678/CAU6	H	0.33	1.428
CAU6	ND678	ND678/CAU6	H	0.84	1.692
CAU6	ND678	ND678/CAU6	H	0.69	1.778
CAU6	ND678	ND678/CAU6	H	0.44	1.526
CAU6	ND678	ND678/CAU6	H	0.8	1.426
CAU6	ND678	ND678/CAU6	H	0.8	1.344
CAU6	ND678	ND678/CAU6	H	0.75	1.012
CAU6	ND678	ND678/CAU6	H	0.79	0.699
CAU6	ND678	ND678/CAU6	H	0.9	0.863
CAU6	ND678	ND678/CAU6	H	0.8	0.598
CAU6	ND678	ND678/CAU6	H	0.83	0.816
CAU6	ND678	ND678/CAU6	H	0.81	1.158
CAU6	ND678	ND678/CAU6	H	0.7	0.406
CAU6	ND678	ND678/CAU6	H	0.9	1.106
CAU6	ND678	ND678/CAU6	H	0.87	0.749
CAU6	ND678	ND678/CAU6	H	0.8	0.692
CAU6	ND678	ND678/CAU6	H	0.83	0.959
CAU6	ND678	ND678/CAU6	H	0.84	0.986
CAU6	ND678	ND678/CAU6	H	0.82	1.202
CAU6	ND678	ND678/CAU6	H	1.13	1.046
CAU6	ND678	ND678/CAU6	H	0.8	1.041
CAU6	ND678	ND678/CAU6	H	0.85	0.908
CAU6	ND678	ND678/CAU6	H	0.68	0.788
CAU6	ND678	ND678/CAU6	H	0.82	1.032
CAU6	ND678	ND678/CAU6	H	0.88	1.103
CAU6	ND678	ND678/CAU6	H	0.7	1.26
CAU6	ND678	ND678/CAU6	H	0.49	1.93
CAU6	ND678	ND678/CAU6	H	0.83	0.768
CAU6	ND678	ND678/CAU6	H	0.8	1.482
CAU6	ND678	ND678/CAU6	H	0.7	0.679
CAU6	ND678	ND678/CAU6	H	0.44	1.899
CAU6	ND678	ND678/CAU6	H	0.8	1.129
CAU6	ND678	ND678/CAU6	H	0.82	0.691
CAU6	ND678	ND678/CAU6	H	0.81	1.023
CAU6	ND678	ND678/CAU6	H	0.8	1.232
CAU6	ND678	ND678/CAU6	H	0.87	1.154
CAU6	ND678	ND678/CAU6	H	0.75	1.018
CAU6	ND678	ND678/CAU6	H	0.69	1.732
CAU6	ND678	ND678/CAU6	H	0.81	0.542
CAU6	ND678	ND678/CAU6	H	0.67	1.408
CAU6	ND678	ND678/CAU6	H	0.79	0.988
CAU6	ND678	ND678/CAU6	H	0.89	0.898
CAU6	ND678	ND678/CAU6	H	0.8	0.937
CAU6	ND678	ND678/CAU6	H	0.8	1.12
CAU6	ND678	ND678/CAU6	H	0.82	1.052
CAU6	ND678	ND678/CAU6	H	0.82	1.847
CAU6	ND678	ND678/CAU6	H	0.63	1.381
CAU6	ND678	ND678/CAU6	H	0.55	2.466
CAU6	ND678	ND678/CAU6	H	0.24	0.796
CAU6	ND678	ND678/CAU6	H	0.3	1.273
CAU6	ND678	ND678/CAU6	H	0.47	1.248
CAU6	ND678	ND678/CAU6	H	0.22	1.434
CAU6	ND678	ND678/CAU6	H	0.24	0.947
CAU6	ND678	ND678/CAU6	H	0.37	0.993
CAU6	ND678	ND678/CAU6	H	0.39	0.443
CAU6	ND678	ND678/CAU6	H	0.44	0.443
CAU6	ND678	ND678/CAU6	H	0.44	0.734
CAU6	ND678	ND678/CAU6	H	0.59	0.553
CAU6	ND678	ND678/CAU6	H	0.43	0.6
CAU6	ND678	ND678/CAU6	H	0.38	1.155
CAU6	ND678	ND678/CAU6	H	0.33	1.193
CAU6	JK968	JK968/CAU6	C	0.42	2.728
CAU6	JK968	JK968/CAU6	C	0.39	3.485
CAU6	JK968	JK968/CAU6	C	0.39	2.341
CAU6	JK968	JK968/CAU6	C	0.43	3.176
CAU6	JK968	JK968/CAU6	C	0.44	2.225
CAU6	JK968	JK968/CAU6	C	0.37	2.046
CAU6	JK968	JK968/CAU6	C	0.4	1.891
CAU6	JK968	JK968/CAU6	C	0.41	2.9
CAU6	JK968	JK968/CAU6	C	0.41	3.524
CAU6	JK968	JK968/CAU6	C	0.41	2.413
CAU6	JK968	JK968/CAU6	C	0.4	2.377
CAU6	JK968	JK968/CAU6	C	0.38	2.846
CAU6	JK968	JK968/CAU6	C	0.82	2.594
CAU6	JK968	JK968/CAU6	C	0.41	2.777
CAU6	JK968	JK968/CAU6	C	0.41	2.059
CAU6	JK968	JK968/CAU6	C	0.42	2.483
CAU6	JK968	JK968/CAU6	C	0.37	2.491
CAU6	JK968	JK968/CAU6	C	0.41	2.576
CAU6	JK968	JK968/CAU6	C	0.4	2.616
CAU6	JK968	JK968/CAU6	C	0.41	3.167
CAU6	JK968	JK968/CAU6	C	0.41	2.664
CAU6	JK968	JK968/CAU6	C	0.43	2.699
CAU6	JK968	JK968/CAU6	C	0.39	2.669
CAU6	JK968	JK968/CAU6	C	0.41	3.125
CAU6	JK968	JK968/CAU6	C	0.42	2.488
CAU6	JK968	JK968/CAU6	C	0.38	2.596
CAU6	JK968	JK968/CAU6	C	0.44	2.807
CAU6	JK968	JK968/CAU6	C	0.37	2.793
CAU6	JK968	JK968/CAU6	C	0.38	2.287
CAU6	JK968	JK968/CAU6	C	0.42	2.577
CAU6	JK968	JK968/CAU6	C	0.38	2.489
CAU6	JK968	JK968/CAU6	C	0.44	2.347
CAU6	JK968	JK968/CAU6	C	0.41	2.272
CAU6	JK968	JK968/CAU6	C	0.4	3.229
CAU6	JK968	JK968/CAU6	C	0.42	3.178
CAU6	JK968	JK968/CAU6	C	0.41	3.683
CAU6	JK968	JK968/CAU6	C	0.44	2.929
CAU6	JK968	JK968/CAU6	C	0.44	3.244
CAU6	JK968	JK968/CAU6	C	0.37	3.079
CAU6	JK968	JK968/CAU6	C	0.37	2.507
CAU6	JK968	JK968/CAU6	C	0.42	2.466
CAU6	JK968	JK968/CAU6	C	0.35	3.575
CAU6	JK968	JK968/CAU6	C	0.35	4.346
CAU6	JK968	JK968/CAU6	C	0.43	3.367
CAU6	JK968	JK968/CAU6	C	0.43	3.06
CAU6	JK968	JK968/CAU6	C	0.39	2.996
CAU6	JK968	JK968/CAU6	C	0.4	3.049
CAU6	JK968	JK968/CAU6	C	0.39	4.029
CAU6	JK968	JK968/CAU6	C	0.48	3.226
CAU6	JK968	JK968/CAU6	C	0.4	2.598
CAU6	JK968	JK968/CAU6	C	0.41	3.105
CAU6	JK968	JK968/CAU6	C	0.37	3.09
CAU6	JK968	JK968/CAU6	C	0.38	2.924
CAU6	JK968	JK968/CAU6	C	0.39	3.536
CAU6	JK968	JK968/CAU6	C	0.4	2.867
CAU6	JK968	JK968/CAU6	C	0.37	3.161
CAU6	JK968	JK968/CAU6	C	0.42	2.365
CAU6	JK968	JK968/CAU6	C	0.41	2.729
CAU6	JK968	JK968/CAU6	C	0.35	2.401
CAU6	JK968	JK968/CAU6	C	0.39	2.077
CAU6	JK968	JK968/CAU6	C	0.4	2.812
CAU6	JK968	JK968/CAU6	C	0.43	3.129
CAU6	JK968	JK968/CAU6	C	0.42	2.805
CAU6	JK968	JK968/CAU6	H	0.41	3.361
CAU6	JK968	JK968/CAU6	H	0.39	2.42
CAU6	JK968	JK968/CAU6	H	0.35	3.061
CAU6	JK968	JK968/CAU6	H	0.35	2.852
CAU6	JK968	JK968/CAU6	H	0.38	2.856
CAU6	JK968	JK968/CAU6	H	0.37	3.129
CAU6	JK968	JK968/CAU6	H	0.37	2.469
CAU6	JK968	JK968/CAU6	H	0.34	2.51
CAU6	JK968	JK968/CAU6	H	0.37	2.384
CAU6	JK968	JK968/CAU6	H	0.35	1.956
CAU6	JK968	JK968/CAU6	H	0.36	2.575
CAU6	JK968	JK968/CAU6	H	0.35	1.879
CAU6	JK968	JK968/CAU6	H	0.36	2.651
CAU6	JK968	JK968/CAU6	H	0.35	2.681
CAU6	JK968	JK968/CAU6	H	0.34	2.309
CAU6	JK968	JK968/CAU6	H	0.36	3.6
CAU6	JK968	JK968/CAU6	H	0.41	2.128
CAU6	JK968	JK968/CAU6	H	0.38	2.593
CAU6	JK968	JK968/CAU6	H	0.4	2.305
CAU6	JK968	JK968/CAU6	H	0.37	2.087
CAU6	JK968	JK968/CAU6	H	0.36	2.034
CAU6	JK968	JK968/CAU6	H	0.37	2.024
CAU6	JK968	JK968/CAU6	H	0.38	2.301
CAU6	JK968	JK968/CAU6	H	0.4	1.733
CAU6	JK968	JK968/CAU6	H	0.39	1.923
CAU6	JK968	JK968/CAU6	H	0.38	1.551
CAU6	JK968	JK968/CAU6	H	0.38	2.229
CAU6	JK968	JK968/CAU6	H	0.39	1.926
CAU6	JK968	JK968/CAU6	H	0.37	2.444
CAU6	JK968	JK968/CAU6	H	0.41	2.331
CAU6	JK968	JK968/CAU6	H	0.39	2.587
CAU6	JK968	JK968/CAU6	H	0.41	3.749
CAU6	JK968	JK968/CAU6	H	0.39	2.269
CAU6	JK968	JK968/CAU6	H	0.35	2.492
CAU6	JK968	JK968/CAU6	H	0.35	1.992
CAU6	JK968	JK968/CAU6	H	0.42	2.153
CAU6	JK968	JK968/CAU6	H	0.39	3.14
CAU6	JK968	JK968/CAU6	H	0.38	1.859
CAU6	JK968	JK968/CAU6	H	0.37	2.219
CAU6	JK968	JK968/CAU6	H	0.37	2.002
CAU6	JK968	JK968/CAU6	H	0.4	2.854
CAU6	JK968	JK968/CAU6	H	0.38	2.583
CAU6	JK968	JK968/CAU6	H	0.38	2.488
CAU6	JK968	JK968/CAU6	H	0.35	2.474
CAU6	JK968	JK968/CAU6	H	0.36	1.838
CAU6	JK968	JK968/CAU6	H	0.42	2.158
CAU6	JK968	JK968/CAU6	H	0.43	3.563
CAU6	JK968	JK968/CAU6	H	0.39	2.061
CAU6	JK968	JK968/CAU6	H	0.38	1.319
CAU6	JK968	JK968/CAU6	H	0.37	2.446
CAU6	JK968	JK968/CAU6	H	0.41	2.391
CAU6	JK968	JK968/CAU6	H	0.37	1.909
CAU6	JK968	JK968/CAU6	H	0.41	2.229
CAU6	JK968	JK968/CAU6	H	0.31	2.142
CAU6	JK968	JK968/CAU6	H	0.32	2.66
CAU6	JK968	JK968/CAU6	H	0.39	1.798
CAU6	JK968	JK968/CAU6	H	0.4	2.869
CAU6	JK968	JK968/CAU6	H	0.4	2.236
CAU6	JK968	JK968/CAU6	H	0.35	3.116
CAU6	JK968	JK968/CAU6	H	0.34	3.263
CAU6	JK968	JK968/CAU6	H	0.34	2.737
